[00:00:16.630] 952105 13.96 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:16.692] 952113 14.04 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:16.758] 952121 16.97 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:17.027] 952159 15.39 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:17.220] 952186 13.71 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:17.477] 952224 7.08 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.4/0.692/3.5 ms, Frame: 1.1/7.148/17.0 ms, FPS: 139.895 (initial: 144.000). Nodes:
[00:00:17.477] 952224 7.12 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:17.477] 952224 7.12 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:17.477] 952224 7.13 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:17.829] 952273 12.10 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:18.428] 952358 13.97 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:18.477] 952366 0.91 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 2 frames dropped. Process: 0.4/0.681/3.2 ms, Frame: 0.9/7.045/15.8 ms, FPS: 141.942 (initial: 144.000). Nodes:
[00:00:18.477] 952366 0.93 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (2.7 ms)
[00:00:18.477] 952366 0.93 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:18.630] 952386 14.14 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:18.691] 952394 11.48 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:18.900] 952423 13.16 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:19.427] 952498 12.81 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:19.484] 952507 7.05 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.3/0.682/3.5 ms, Frame: 0.8/7.139/14.8 ms, FPS: 140.071 (initial: 144.000). Nodes:
[00:00:19.484] 952507 7.07 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:19.484] 952507 7.08 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:19.484] 952507 7.08 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:19.829] 952555 8.74 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:20.101] 952593 12.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:20.356] 952629 17.64 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:20.420] 952638 12.45 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:20.485] 952648 1.23 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.714/3.4 ms, Frame: 1.1/7.097/17.7 ms, FPS: 140.897 (initial: 144.000). Nodes:
[00:00:20.485] 952648 1.26 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:20.485] 952648 1.27 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:20.485] 952648 1.28 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:21.220] 952752 13.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:21.364] 952772 11.65 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:21.491] 952791 7.00 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.4/0.669/3.1 ms, Frame: 1.3/7.037/17.2 ms, FPS: 142.101 (initial: 144.000). Nodes:
[00:00:21.491] 952791 7.02 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:21.491] 952791 7.02 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:21.610] 952806 14.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:21.621] 952807 10.77 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:22.004] 952861 19.28 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:22.004] 952861 19.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:22.491] 952931 10.04 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.3/0.711/3.5 ms, Frame: 1.2/7.144/19.3 ms, FPS: 139.987 (initial: 144.000). Nodes:
[00:00:22.491] 952931 10.06 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:22.491] 952931 10.07 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:22.491] 952931 10.07 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:22.692] 952959 13.25 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:22.804] 952974 21.00 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:22.804] 952974 21.02 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:22.947] 952994 11.16 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:23.075] 953011 12.02 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:23.157] 953022 12.57 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:23.492] 953071 7.40 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.3/0.701/3.4 ms, Frame: 0.7/7.146/21.0 ms, FPS: 139.944 (initial: 144.000). Nodes:
[00:00:23.492] 953071 7.43 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:23.492] 953071 7.44 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:24.487] 953212 16.03 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:24.499] 953214 7.03 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.3/0.708/3.3 ms, Frame: 1.2/7.039/16.1 ms, FPS: 142.057 (initial: 144.000). Nodes:
[00:00:24.499] 953214 7.05 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:24.499] 953214 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:24.499] 953214 7.07 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:24.545] 953220 12.06 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:24.630] 953231 18.95 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:24.630] 953231 18.98 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:24.884] 953267 10.07 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:25.506] 953357 7.02 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.3/0.675/3.9 ms, Frame: 1.2/7.042/19.0 ms, FPS: 142.006 (initial: 144.000). Nodes:
[00:00:25.506] 953357 7.04 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:25.506] 953357 7.05 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:25.506] 953357 7.05 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:26.149] 953448 11.06 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:26.404] 953484 16.54 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:26.513] 953500 7.05 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.4/0.704/3.3 ms, Frame: 1.3/7.042/16.6 ms, FPS: 142.005 (initial: 144.000). Nodes:
[00:00:26.513] 953500 7.07 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:26.513] 953500 7.07 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:26.677] 953522 11.37 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:26.947] 953560 10.43 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:27.029] 953571 16.32 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:27.494] 953637 15.84 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:27.513] 953640 7.00 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.3/0.672/3.3 ms, Frame: 1.5/7.143/16.3 ms, FPS: 139.991 (initial: 144.000). Nodes:
[00:00:27.513] 953640 7.02 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:27.513] 953640 7.02 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:27.941] 953700 11.46 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:28.274] 953747 10.84 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:28.502] 953778 16.39 Root/Context1 (Canvas.cpp,330) | 2 frames dropped!
[00:00:28.513] 953780 7.03 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 4 frames dropped. Process: 0.4/0.699/3.3 ms, Frame: 2.1/7.143/16.4 ms, FPS: 139.990 (initial: 144.000). Nodes:
[00:00:28.513] 953780 7.04 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:28.513] 953780 7.05 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:28.513] 953780 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.0 ms)
[00:00:28.692] 953804 12.81 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:29.428] 953909 19.47 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:29.428] 953909 19.50 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:29.520] 953923 7.01 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 1 frames dropped. Process: 0.3/0.678/3.5 ms, Frame: 1.2/7.042/19.5 ms, FPS: 142.010 (initial: 144.000). Nodes:
[00:00:29.520] 953923 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:29.520] 953923 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/IntAsJson (0.4 ms)
[00:00:29.520] 953923 7.04 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:29.605] 953934 15.61 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:30.084] 954002 15.20 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:30.483] 954058 11.99 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:30.520] 954064 7.04 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.3/0.690/3.3 ms, Frame: 1.1/7.093/15.6 ms, FPS: 140.992 (initial: 144.000). Nodes:
[00:00:30.520] 954064 7.06 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (2.8 ms)
[00:00:30.520] 954064 7.06 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:30.520] 954064 7.07 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:31.203] 954161 16.19 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:31.405] 954189 16.91 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:31.420] 954190 14.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:31.520] 954205 7.00 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.699/3.3 ms, Frame: 1.0/7.093/16.9 ms, FPS: 140.993 (initial: 144.000). Nodes:
[00:00:31.520] 954205 7.02 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:31.520] 954205 7.03 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
